title,description,url,text_clean
IndyRef2: SNP MP calls for penalties to decide independence,Chris Stephens jokingly suggested a second referendum could be decided on spot-kicks.,https://www.bbc.co.uk/news/av/uk-politics-57930801,"['snp', 'mp', 'calls', 'penalties', 'decide', 'stephens', 'jokingly', 'suggested', 'second', 'referendum', 'could', 'decided']"
US slaps sanctions on Cuban officials after protest crackdown,President Biden has been under increasing pressure to respond to the historic anti-regime protests.,https://www.bbc.co.uk/news/world-us-canada-57935558,"['us', 'slaps', 'sanctions', 'cuban', 'officials', 'protest', 'biden', 'increasing', 'pressure', 'respond', 'historic', 'protests']"
Ireland v South Africa: Proteas earn T20 series win over Belfast hosts,South Africa go 2-0 up in the three-match Twenty20 series against Ireland thanks to a 42-run victory at a sunny Stormont.,https://www.bbc.co.uk/sport/cricket/57936792,"['ireland', 'v', 'south', 'africa', 'proteas', 'earn', 'series', 'win', 'belfast', 'africa', 'go', 'series', 'ireland', 'thanks', 'victory', 'sunny', 'stormont']"
The Hundred - Oval Invincibles v Manchester Originals: Lammonby catches Roy off Hartley,Manchester Originals' Tom Lammonby produces a superb diving catch to dismiss Jason Roy of the Oval Invincibles in the opening men's game of The Hundred.,https://www.bbc.co.uk/sport/av/cricket/57937052,"['hundred', 'oval', 'invincibles', 'v', 'manchester', 'originals', 'lammonby', 'catches', 'roy', 'originals', 'tom', 'lammonby', 'produces', 'superb', 'diving', 'catch', 'dismiss', 'jason', 'roy', 'oval', 'invincibles', 'opening', 'men', 'game', 'hundred']"
Emily Ratajkowski sponsors Bantry Basketball Club in County Cork,"Emily Ratajkowski buys kit for Bantry's U15 and U16 teams, setting Snapchat ""on fire"".",https://www.bbc.co.uk/news/world-europe-57932456,"['emily', 'ratajkowski', 'sponsors', 'bantry', 'basketball', 'club', 'county', 'ratajkowski', 'buys', 'kit', 'bantry', 'teams', 'setting', 'snapchat', 'fire']"
2021/07/22 18:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172xzjmw7bjcpt,"['latest', 'five', 'minute', 'news', 'bulletin', 'bbc', 'world', 'service']"
"Tokyo Olympics: Brazil, Japan and Mexico off the mark in best goals from the opening round",Watch Paulinho's superb strike for Brazil and all the best goals from the opening day of men's football at Tokyo 2020.,https://www.bbc.co.uk/sport/av/57932274,"['tokyo', 'olympics', 'brazil', 'japan', 'mexico', 'mark', 'best', 'goals', 'opening', 'paulinho', 'superb', 'strike', 'brazil', 'best', 'goals', 'opening', 'day', 'men', 'football', 'tokyo']"
Ethiopia Tigray crisis: New front opens in war as aid fears grow,A bloody eight-month battle for control of the Tigray region spills over into neighbouring Afar.,https://www.bbc.co.uk/news/world-africa-57926832,"['ethiopia', 'tigray', 'crisis', 'new', 'front', 'opens', 'war', 'aid', 'fears', 'bloody', 'battle', 'control', 'tigray', 'region', 'spills', 'neighbouring', 'afar']"
Pistol: Danny Boyle's Sex Pistols drama filmed in Hemel Hempstead,The director and his crew transform Hemel Hempstead into gritty urban centres for a punk drama.,https://www.bbc.co.uk/news/uk-england-beds-bucks-herts-57933408,"['pistol', 'danny', 'boyle', 'sex', 'pistols', 'drama', 'filmed', 'hemel', 'director', 'crew', 'transform', 'hemel', 'hempstead', 'gritty', 'urban', 'centres', 'punk', 'drama']"
The Hundred: Oval Invincibles' Sam Billings and Jason Roy play 'Out of 100',Oval Invincibles team-mates Sam Billings and Jason Roy compare sporting and singing skills as they play The Hundred: Out of 100.,https://www.bbc.co.uk/sport/av/cricket/57900952,"['hundred', 'oval', 'invincibles', 'sam', 'billings', 'jason', 'roy', 'play', 'invincibles', 'sam', 'billings', 'jason', 'roy', 'compare', 'sporting', 'singing', 'skills', 'play', 'hundred']"
"Mick Norcross: Former Towie star took his own life, inquest rules","Mick Norcross was in danger of losing his home and struggled in the lockdown, his inquest hears.",https://www.bbc.co.uk/news/uk-england-essex-57935410,"['mick', 'norcross', 'former', 'towie', 'star', 'took', 'life', 'inquest', 'norcross', 'danger', 'losing', 'home', 'struggled', 'lockdown', 'inquest', 'hears']"
Greenpeace call for more support for oil workers to move into green jobs,The environmental group wants more funds to support the transition for oil and gas workers into the green economy.,https://www.bbc.co.uk/news/av/uk-scotland-57936319,"['greenpeace', 'call', 'support', 'oil', 'workers', 'move', 'green', 'environmental', 'group', 'wants', 'funds', 'support', 'transition', 'oil', 'gas', 'workers', 'green', 'economy']"
Ireland v Zimbabwe: Series to be rescheduled over Covid-19 quarantine requirements,The eight-game series between Ireland and Zimbabwe next month will be rescheduled because of Covid-19 quarantine requirements.,https://www.bbc.co.uk/sport/cricket/57932125,"['ireland', 'v', 'zimbabwe', 'series', 'rescheduled', 'quarantine', 'series', 'ireland', 'zimbabwe', 'next', 'month', 'rescheduled', 'quarantine', 'requirements']"
2021/07/22 17:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172xzjmw7bj7yp,"['latest', 'five', 'minute', 'news', 'bulletin', 'bbc', 'world', 'service']"
Welcome to the Care Home Olympics,Fifteen Scottish care homes compete in sports inspired by the Tokyo Olympic Games.,https://www.bbc.co.uk/news/av/uk-scotland-57936247,"['welcome', 'care', 'home', 'scottish', 'care', 'homes', 'compete', 'sports', 'inspired', 'tokyo', 'olympic', 'games']"
Newcastle United defender Florian Lejeune moves to Alaves on a permanent deal,Newcastle United defender Florian Lejeune completes a move to La Liga side Alaves on permanent deal.,https://www.bbc.co.uk/sport/football/57933386,"['newcastle', 'united', 'defender', 'florian', 'lejeune', 'moves', 'alaves', 'permanent', 'united', 'defender', 'florian', 'lejeune', 'completes', 'move', 'la', 'liga', 'side', 'alaves', 'permanent', 'deal']"
Gun owners' fears after firearms dealer data breach,Thousands of records from the popular shotgun and rifle sales site Guntrader were posted to the dark web.,https://www.bbc.co.uk/news/technology-57932823,"['gun', 'owners', 'fears', 'firearms', 'dealer', 'data', 'records', 'popular', 'shotgun', 'rifle', 'sales', 'site', 'guntrader', 'posted', 'dark', 'web']"
How the lives of ex-sportsmen and women have been affected by concussion,BBC Radio 5 Live speaks to former sportsmen and women and their families about how concussion has changed their lives.,https://www.bbc.co.uk/sport/57932622,"['lives', 'women', 'affected', 'radio', 'live', 'speaks', 'former', 'sportsmen', 'women', 'families', 'concussion', 'changed', 'lives']"
Fashion for Crocs continues to break records,The chunky shoe's sales nearly doubled in the three months to the end of June compared with last year.,https://www.bbc.co.uk/news/business-57935256,"['fashion', 'crocs', 'continues', 'break', 'chunky', 'shoe', 'sales', 'nearly', 'doubled', 'three', 'months', 'end', 'june', 'compared', 'last', 'year']"
Man dies after falling off e-scooter in Twickenham,The 53-year-old man is the second e-scooter rider in a week to have had a fatal accident in London.,https://www.bbc.co.uk/news/uk-england-london-57935883,"['man', 'dies', 'falling', 'man', 'second', 'rider', 'week', 'fatal', 'accident', 'london']"
Websites hit by global outage,Dozens of hugely popular websites have been knocked offline.,https://www.bbc.co.uk/news/technology-57929544,"['websites', 'hit', 'global', 'hugely', 'popular', 'websites', 'knocked', 'offline']"
"Covid-19: Shops try to ease 'pingdemic' fears, and record cases for the 20 to 29s",Five things you need to know about the coronavirus pandemic this Thursday evening.,https://www.bbc.co.uk/news/uk-57923590,"['shops', 'try', 'ease', 'fears', 'record', 'cases', 'things', 'need', 'know', 'coronavirus', 'pandemic', 'thursday', 'evening']"
